scenario_id,mission_state,tactical_primary_reason_code,tactical_advisory_code,tactical_summary_text,tactical_summary_path,failed_checks
s10_fusion_degraded_fused,MISSION_DEGRADED,tactical_mission_degraded,operator_continue_with_caution,Mission is degraded with blended localization; EW risk is medium. Continue with caution and monitor localization confidence.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s10_fusion_degraded_fused_tactical_summary.json,
s11_fusion_denied_vio_only,MISSION_FALLBACK,tactical_fallback_active,operator_avoid_high_risk_corridor,Mission is fallback with VIO-primary localization; EW risk is high. Avoid the highlighted high-risk corridor and reassess route progress.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s11_fusion_denied_vio_only_tactical_summary.json,
s12_fusion_dead_reckoning,MISSION_ABORT,tactical_abort_active,operator_abort_and_retask,Mission is abort with hold-last-safe localization; EW risk is high. Abort the current route and retask before continuing.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s12_fusion_dead_reckoning_tactical_summary.json,
s13_sync_low_nominal,MISSION_EXECUTE,tactical_sync_risk_observed,operator_continue_with_caution,Mission is executing with GNSS-primary localization; EW risk is low. Continue with caution and monitor localization confidence.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s13_sync_low_nominal_tactical_summary.json,
s14_sync_low_denied_good,MISSION_FALLBACK,tactical_fallback_active,operator_avoid_high_risk_corridor,Mission is fallback with VIO-primary localization; EW risk is high. Avoid the highlighted high-risk corridor and reassess route progress.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s14_sync_low_denied_good_tactical_summary.json,
s15_safe_hold_timeout_abort,MISSION_ABORT,tactical_abort_active,operator_abort_and_retask,Mission is abort with VIO-primary localization; EW risk is high. Abort the current route and retask before continuing.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s15_safe_hold_timeout_abort_tactical_summary.json,
s16_recovery_dwell_delays_resume,MISSION_EXECUTE,tactical_ew_hotspot_detected,operator_avoid_high_risk_corridor,Mission is executing with VIO-primary localization; EW risk is high. Avoid the highlighted high-risk corridor and reassess route progress.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s16_recovery_dwell_delays_resume_tactical_summary.json,
s17_state_oscillation_safe_hold,MISSION_SAFE_HOLD,tactical_safe_hold_active,operator_hold_position_and_investigate,Mission is safe hold with blended localization; EW risk is medium. Hold position and investigate navigation degradation before resuming.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s17_state_oscillation_safe_hold_tactical_summary.json,
s18_abort_terminal,MISSION_ABORT,tactical_abort_active,operator_abort_and_retask,Mission is abort with hold-last-safe localization; EW risk is high. Abort the current route and retask before continuing.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s18_abort_terminal_tactical_summary.json,
s19_ew_mid_route_denial_hotspot,MISSION_EXECUTE,tactical_ew_hotspot_detected,operator_avoid_high_risk_corridor,Mission is executing with GNSS-primary localization; EW risk is high. Avoid the highlighted high-risk corridor and reassess route progress.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s19_ew_mid_route_denial_hotspot_tactical_summary.json,
s1_nominal,MISSION_EXECUTE,tactical_nominal_overview,operator_continue_nominal,Mission is executing with GNSS-primary localization; EW risk is none. Continue mission on the current route.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s1_nominal_tactical_summary.json,
s20_ew_decay_after_recovery,MISSION_EXECUTE,tactical_localization_instability_observed,operator_continue_with_caution,Mission is executing with GNSS-primary localization; EW risk is medium. Continue with caution and monitor localization confidence.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s20_ew_decay_after_recovery_tactical_summary.json,
s2_gnss_degraded_corridor,MISSION_DEGRADED,tactical_mission_degraded,operator_continue_with_caution,Mission is degraded with blended localization; EW risk is medium. Continue with caution and monitor localization confidence.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s2_gnss_degraded_corridor_tactical_summary.json,
s3_gnss_denied_zone,MISSION_FALLBACK,tactical_fallback_active,operator_avoid_high_risk_corridor,Mission is fallback with VIO-primary localization; EW risk is high. Avoid the highlighted high-risk corridor and reassess route progress.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s3_gnss_denied_zone_tactical_summary.json,
s4_denied_vio_good,MISSION_FALLBACK,tactical_fallback_active,operator_avoid_high_risk_corridor,Mission is fallback with VIO-primary localization; EW risk is high. Avoid the highlighted high-risk corridor and reassess route progress.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s4_denied_vio_good_tactical_summary.json,
s5_denied_vio_weak,MISSION_SAFE_HOLD,tactical_safe_hold_active,operator_hold_position_and_investigate,Mission is safe hold with VIO-primary localization; EW risk is high. Hold position and investigate navigation degradation before resuming.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s5_denied_vio_weak_tactical_summary.json,
s6_denied_vio_lost,MISSION_ABORT,tactical_abort_active,operator_abort_and_retask,Mission is abort with hold-last-safe localization; EW risk is high. Abort the current route and retask before continuing.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s6_denied_vio_lost_tactical_summary.json,
s7_conflict_score_dominates,MISSION_ABORT,tactical_abort_active,operator_abort_and_retask,Mission is abort with hold-last-safe localization; EW risk is high. Abort the current route and retask before continuing.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s7_conflict_score_dominates_tactical_summary.json,
s8_conflict_state_dominates,MISSION_SAFE_HOLD,tactical_safe_hold_active,operator_hold_position_and_investigate,Mission is safe hold with hold-last-safe localization; EW risk is high. Hold position and investigate navigation degradation before resuming.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s8_conflict_state_dominates_tactical_summary.json,
s9_fusion_gnss_primary,MISSION_EXECUTE,tactical_nominal_overview,operator_continue_nominal,Mission is executing with GNSS-primary localization; EW risk is none. Continue mission on the current route.,C:\Users\Furkan\Desktop\jamshield-recon-x\jamshield-recon-x\artifacts\runs\20260313T105100Z\s9_fusion_gnss_primary_tactical_summary.json,
